disease_id,disease_name,symptom_id,symptom_name
DIS001,Common Cold,SYM0001,runny nose
DIS001,Common Cold,SYM0002,sneezing
DIS001,Common Cold,SYM0003,sore throat
DIS001,Common Cold,SYM0004,mild fever
DIS001,Common Cold,SYM0005,nasal congestion
DIS001,Common Cold,SYM0006,cough
DIS001,Common Cold,SYM0007,headache
DIS002,Influenza,SYM0008,high fever
DIS002,Influenza,SYM0009,body aches
DIS002,Influenza,SYM0010,fatigue
DIS002,Influenza,SYM0011,dry cough
DIS002,Influenza,SYM0007,headache
DIS002,Influenza,SYM0012,chills
DIS002,Influenza,SYM0003,sore throat
DIS003,Typhoid Fever,SYM0013,prolonged fever
DIS003,Typhoid Fever,SYM0014,abdominal pain
DIS003,Typhoid Fever,SYM0015,weakness
DIS003,Typhoid Fever,SYM0007,headache
DIS003,Typhoid Fever,SYM0016,loss of appetite
DIS003,Typhoid Fever,SYM0017,rash
DIS003,Typhoid Fever,SYM0018,constipation
DIS004,Malaria,SYM0019,cyclic fever
DIS004,Malaria,SYM0012,chills
DIS004,Malaria,SYM0020,sweating
DIS004,Malaria,SYM0007,headache
DIS004,Malaria,SYM0021,nausea
DIS004,Malaria,SYM0022,muscle pain
DIS004,Malaria,SYM0010,fatigue
DIS005,Dengue Fever,SYM0008,high fever
DIS005,Dengue Fever,SYM0023,severe headache
DIS005,Dengue Fever,SYM0024,eye pain
DIS005,Dengue Fever,SYM0025,joint pain
DIS005,Dengue Fever,SYM0017,rash
DIS005,Dengue Fever,SYM0026,bleeding gums
DIS005,Dengue Fever,SYM0010,fatigue
DIS006,Chikungunya,SYM0027,fever
DIS006,Chikungunya,SYM0025,joint pain
DIS006,Chikungunya,SYM0017,rash
DIS006,Chikungunya,SYM0007,headache
DIS006,Chikungunya,SYM0022,muscle pain
DIS006,Chikungunya,SYM0028,joint swelling
DIS006,Chikungunya,SYM0010,fatigue
DIS007,Viral Gastroenteritis,SYM0029,diarrhoea
DIS007,Viral Gastroenteritis,SYM0030,vomiting
DIS007,Viral Gastroenteritis,SYM0021,nausea
DIS007,Viral Gastroenteritis,SYM0031,stomach cramps
DIS007,Viral Gastroenteritis,SYM0004,mild fever
DIS007,Viral Gastroenteritis,SYM0032,dehydration
DIS007,Viral Gastroenteritis,SYM0016,loss of appetite
DIS008,Anaemia,SYM0010,fatigue
DIS008,Anaemia,SYM0033,pallor
DIS008,Anaemia,SYM0034,shortness of breath
DIS008,Anaemia,SYM0035,dizziness
DIS008,Anaemia,SYM0036,cold hands
DIS008,Anaemia,SYM0037,brittle nails
DIS008,Anaemia,SYM0007,headache
DIS009,Dehydration,SYM0038,thirst
DIS009,Dehydration,SYM0039,dry mouth
DIS009,Dehydration,SYM0040,dark urine
DIS009,Dehydration,SYM0010,fatigue
DIS009,Dehydration,SYM0035,dizziness
DIS009,Dehydration,SYM0041,sunken eyes
DIS009,Dehydration,SYM0042,decreased urination
DIS010,Heat Stroke,SYM0043,high body temperature
DIS010,Heat Stroke,SYM0044,hot dry skin
DIS010,Heat Stroke,SYM0045,confusion
DIS010,Heat Stroke,SYM0046,rapid pulse
DIS010,Heat Stroke,SYM0007,headache
DIS010,Heat Stroke,SYM0021,nausea
DIS010,Heat Stroke,SYM0047,unconsciousness
DIS011,Vitamin D Deficiency,SYM0048,bone pain
DIS011,Vitamin D Deficiency,SYM0049,muscle weakness
DIS011,Vitamin D Deficiency,SYM0010,fatigue
DIS011,Vitamin D Deficiency,SYM0050,depression
DIS011,Vitamin D Deficiency,SYM0051,hair loss
DIS011,Vitamin D Deficiency,SYM0052,back pain
DIS011,Vitamin D Deficiency,SYM0053,impaired healing
DIS012,Vitamin B12 Deficiency,SYM0010,fatigue
DIS012,Vitamin B12 Deficiency,SYM0054,numbness
DIS012,Vitamin B12 Deficiency,SYM0055,memory loss
DIS012,Vitamin B12 Deficiency,SYM0056,mood changes
DIS012,Vitamin B12 Deficiency,SYM0057,pale skin
DIS012,Vitamin B12 Deficiency,SYM0018,constipation
DIS012,Vitamin B12 Deficiency,SYM0058,balance problems
DIS013,Iron Deficiency,SYM0010,fatigue
DIS013,Iron Deficiency,SYM0015,weakness
DIS013,Iron Deficiency,SYM0057,pale skin
DIS013,Iron Deficiency,SYM0059,chest pain
DIS013,Iron Deficiency,SYM0036,cold hands
DIS013,Iron Deficiency,SYM0037,brittle nails
DIS013,Iron Deficiency,SYM0060,frequent infections
DIS014,Obesity,SYM0061,excess weight
DIS014,Obesity,SYM0062,breathlessness
DIS014,Obesity,SYM0025,joint pain
DIS014,Obesity,SYM0010,fatigue
DIS014,Obesity,SYM0020,sweating
DIS014,Obesity,SYM0063,snoring
DIS014,Obesity,SYM0050,depression
DIS015,Malnutrition,SYM0064,weight loss
DIS015,Malnutrition,SYM0010,fatigue
DIS015,Malnutrition,SYM0015,weakness
DIS015,Malnutrition,SYM0065,stunted growth
DIS015,Malnutrition,SYM0066,dry skin
DIS015,Malnutrition,SYM0051,hair loss
DIS015,Malnutrition,SYM0067,poor wound healing
DIS016,Septicaemia,SYM0008,high fever
DIS016,Septicaemia,SYM0068,rapid breathing
DIS016,Septicaemia,SYM0069,rapid heart rate
DIS016,Septicaemia,SYM0045,confusion
DIS016,Septicaemia,SYM0070,low blood pressure
DIS016,Septicaemia,SYM0071,cold clammy skin
DIS016,Septicaemia,SYM0072,decreased urine
DIS017,Leptospirosis,SYM0027,fever
DIS017,Leptospirosis,SYM0007,headache
DIS017,Leptospirosis,SYM0073,muscle aches
DIS017,Leptospirosis,SYM0074,red eyes
DIS017,Leptospirosis,SYM0075,jaundice
DIS017,Leptospirosis,SYM0017,rash
DIS017,Leptospirosis,SYM0030,vomiting
DIS018,Scrub Typhus,SYM0027,fever
DIS018,Scrub Typhus,SYM0007,headache
DIS018,Scrub Typhus,SYM0017,rash
DIS018,Scrub Typhus,SYM0076,eschar
DIS018,Scrub Typhus,SYM0022,muscle pain
DIS018,Scrub Typhus,SYM0006,cough
DIS018,Scrub Typhus,SYM0077,swollen lymph nodes
DIS019,Brucellosis,SYM0027,fever
DIS019,Brucellosis,SYM0020,sweating
DIS019,Brucellosis,SYM0025,joint pain
DIS019,Brucellosis,SYM0010,fatigue
DIS019,Brucellosis,SYM0016,loss of appetite
DIS019,Brucellosis,SYM0007,headache
DIS019,Brucellosis,SYM0052,back pain
DIS020,Rabies,SYM0027,fever
DIS020,Rabies,SYM0007,headache
DIS020,Rabies,SYM0078,agitation
DIS020,Rabies,SYM0079,hallucinations
DIS020,Rabies,SYM0080,excessive salivation
DIS020,Rabies,SYM0081,paralysis
DIS020,Rabies,SYM0082,hydrophobia
DIS021,Hypertension,SYM0007,headache
DIS021,Hypertension,SYM0035,dizziness
DIS021,Hypertension,SYM0083,blurred vision
DIS021,Hypertension,SYM0059,chest pain
DIS021,Hypertension,SYM0034,shortness of breath
DIS021,Hypertension,SYM0084,nosebleeds
DIS021,Hypertension,SYM0085,palpitations
DIS022,Coronary Artery Disease,SYM0059,chest pain
DIS022,Coronary Artery Disease,SYM0034,shortness of breath
DIS022,Coronary Artery Disease,SYM0010,fatigue
DIS022,Coronary Artery Disease,SYM0085,palpitations
DIS022,Coronary Artery Disease,SYM0020,sweating
DIS022,Coronary Artery Disease,SYM0021,nausea
DIS022,Coronary Artery Disease,SYM0086,jaw pain
DIS023,Myocardial Infarction,SYM0087,severe chest pain
DIS023,Myocardial Infarction,SYM0088,left arm pain
DIS023,Myocardial Infarction,SYM0034,shortness of breath
DIS023,Myocardial Infarction,SYM0020,sweating
DIS023,Myocardial Infarction,SYM0021,nausea
DIS023,Myocardial Infarction,SYM0086,jaw pain
DIS023,Myocardial Infarction,SYM0035,dizziness
DIS024,Heart Failure,SYM0062,breathlessness
DIS024,Heart Failure,SYM0089,leg swelling
DIS024,Heart Failure,SYM0010,fatigue
DIS024,Heart Failure,SYM0090,rapid heartbeat
DIS024,Heart Failure,SYM0091,persistent cough
DIS024,Heart Failure,SYM0092,weight gain
DIS024,Heart Failure,SYM0035,dizziness
DIS025,Atrial Fibrillation,SYM0093,irregular heartbeat
DIS025,Atrial Fibrillation,SYM0085,palpitations
DIS025,Atrial Fibrillation,SYM0034,shortness of breath
DIS025,Atrial Fibrillation,SYM0010,fatigue
DIS025,Atrial Fibrillation,SYM0035,dizziness
DIS025,Atrial Fibrillation,SYM0059,chest pain
DIS025,Atrial Fibrillation,SYM0094,fainting
DIS026,Angina Pectoris,SYM0095,chest tightness
DIS026,Angina Pectoris,SYM0096,chest pressure
DIS026,Angina Pectoris,SYM0034,shortness of breath
DIS026,Angina Pectoris,SYM0021,nausea
DIS026,Angina Pectoris,SYM0010,fatigue
DIS026,Angina Pectoris,SYM0097,shoulder pain
DIS026,Angina Pectoris,SYM0086,jaw pain
DIS027,Cardiomyopathy,SYM0062,breathlessness
DIS027,Cardiomyopathy,SYM0089,leg swelling
DIS027,Cardiomyopathy,SYM0010,fatigue
DIS027,Cardiomyopathy,SYM0093,irregular heartbeat
DIS027,Cardiomyopathy,SYM0035,dizziness
DIS027,Cardiomyopathy,SYM0059,chest pain
DIS027,Cardiomyopathy,SYM0094,fainting
DIS028,Aortic Stenosis,SYM0059,chest pain
DIS028,Aortic Stenosis,SYM0094,fainting
DIS028,Aortic Stenosis,SYM0034,shortness of breath
DIS028,Aortic Stenosis,SYM0010,fatigue
DIS028,Aortic Stenosis,SYM0098,heart murmur
DIS028,Aortic Stenosis,SYM0089,leg swelling
DIS028,Aortic Stenosis,SYM0090,rapid heartbeat
DIS029,Mitral Valve Prolapse,SYM0085,palpitations
DIS029,Mitral Valve Prolapse,SYM0059,chest pain
DIS029,Mitral Valve Prolapse,SYM0010,fatigue
DIS029,Mitral Valve Prolapse,SYM0034,shortness of breath
DIS029,Mitral Valve Prolapse,SYM0035,dizziness
DIS029,Mitral Valve Prolapse,SYM0099,anxiety
DIS029,Mitral Valve Prolapse,SYM0093,irregular heartbeat
DIS030,Pericarditis,SYM0100,sharp chest pain
DIS030,Pericarditis,SYM0027,fever
DIS030,Pericarditis,SYM0011,dry cough
DIS030,Pericarditis,SYM0010,fatigue
DIS030,Pericarditis,SYM0034,shortness of breath
DIS030,Pericarditis,SYM0101,swelling
DIS030,Pericarditis,SYM0090,rapid heartbeat
DIS031,Endocarditis,SYM0027,fever
DIS031,Endocarditis,SYM0012,chills
DIS031,Endocarditis,SYM0010,fatigue
DIS031,Endocarditis,SYM0025,joint pain
DIS031,Endocarditis,SYM0098,heart murmur
DIS031,Endocarditis,SYM0102,night sweats
DIS031,Endocarditis,SYM0034,shortness of breath
DIS032,Deep Vein Thrombosis,SYM0089,leg swelling
DIS032,Deep Vein Thrombosis,SYM0103,leg pain
DIS032,Deep Vein Thrombosis,SYM0104,redness
DIS032,Deep Vein Thrombosis,SYM0105,warmth
DIS032,Deep Vein Thrombosis,SYM0106,leg cramps
DIS032,Deep Vein Thrombosis,SYM0107,skin discolouration
DIS032,Deep Vein Thrombosis,SYM0027,fever
DIS033,Pulmonary Embolism,SYM0108,sudden shortness of breath
DIS033,Pulmonary Embolism,SYM0059,chest pain
DIS033,Pulmonary Embolism,SYM0090,rapid heartbeat
DIS033,Pulmonary Embolism,SYM0109,coughing blood
DIS033,Pulmonary Embolism,SYM0035,dizziness
DIS033,Pulmonary Embolism,SYM0089,leg swelling
DIS033,Pulmonary Embolism,SYM0020,sweating
DIS034,Peripheral Arterial Disease,SYM0110,leg pain on walking
DIS034,Peripheral Arterial Disease,SYM0111,cold legs
DIS034,Peripheral Arterial Disease,SYM0112,leg numbness
DIS034,Peripheral Arterial Disease,SYM0113,weak pulse
DIS034,Peripheral Arterial Disease,SYM0114,slow healing wounds
DIS034,Peripheral Arterial Disease,SYM0115,leg discolouration
DIS034,Peripheral Arterial Disease,SYM0116,hair loss on legs
DIS035,Rheumatic Heart Disease,SYM0059,chest pain
DIS035,Rheumatic Heart Disease,SYM0034,shortness of breath
DIS035,Rheumatic Heart Disease,SYM0010,fatigue
DIS035,Rheumatic Heart Disease,SYM0098,heart murmur
DIS035,Rheumatic Heart Disease,SYM0025,joint pain
DIS035,Rheumatic Heart Disease,SYM0027,fever
DIS035,Rheumatic Heart Disease,SYM0117,swollen joints
DIS036,Congenital Heart Defect,SYM0118,bluish skin
DIS036,Congenital Heart Defect,SYM0034,shortness of breath
DIS036,Congenital Heart Defect,SYM0119,poor weight gain
DIS036,Congenital Heart Defect,SYM0010,fatigue
DIS036,Congenital Heart Defect,SYM0120,frequent respiratory infections
DIS036,Congenital Heart Defect,SYM0098,heart murmur
DIS036,Congenital Heart Defect,SYM0121,swollen legs
DIS037,Cardiac Arrhythmia,SYM0085,palpitations
DIS037,Cardiac Arrhythmia,SYM0035,dizziness
DIS037,Cardiac Arrhythmia,SYM0094,fainting
DIS037,Cardiac Arrhythmia,SYM0034,shortness of breath
DIS037,Cardiac Arrhythmia,SYM0059,chest pain
DIS037,Cardiac Arrhythmia,SYM0010,fatigue
DIS037,Cardiac Arrhythmia,SYM0122,irregular pulse
DIS038,Hypotension,SYM0035,dizziness
DIS038,Hypotension,SYM0094,fainting
DIS038,Hypotension,SYM0083,blurred vision
DIS038,Hypotension,SYM0021,nausea
DIS038,Hypotension,SYM0071,cold clammy skin
DIS038,Hypotension,SYM0010,fatigue
DIS038,Hypotension,SYM0123,rapid shallow breathing
DIS039,Aortic Aneurysm,SYM0052,back pain
DIS039,Aortic Aneurysm,SYM0014,abdominal pain
DIS039,Aortic Aneurysm,SYM0124,pulsating abdomen
DIS039,Aortic Aneurysm,SYM0034,shortness of breath
DIS039,Aortic Aneurysm,SYM0125,hoarseness
DIS039,Aortic Aneurysm,SYM0126,swallowing difficulty
DIS039,Aortic Aneurysm,SYM0035,dizziness
DIS040,Hypertrophic Cardiomyopathy,SYM0059,chest pain
DIS040,Hypertrophic Cardiomyopathy,SYM0034,shortness of breath
DIS040,Hypertrophic Cardiomyopathy,SYM0094,fainting
DIS040,Hypertrophic Cardiomyopathy,SYM0085,palpitations
DIS040,Hypertrophic Cardiomyopathy,SYM0035,dizziness
DIS040,Hypertrophic Cardiomyopathy,SYM0010,fatigue
DIS040,Hypertrophic Cardiomyopathy,SYM0098,heart murmur
DIS041,Migraine,SYM0023,severe headache
DIS041,Migraine,SYM0021,nausea
DIS041,Migraine,SYM0030,vomiting
DIS041,Migraine,SYM0127,light sensitivity
DIS041,Migraine,SYM0128,sound sensitivity
DIS041,Migraine,SYM0129,aura
DIS041,Migraine,SYM0130,throbbing pain
DIS042,Epilepsy,SYM0131,seizures
DIS042,Epilepsy,SYM0132,loss of consciousness
DIS042,Epilepsy,SYM0133,muscle stiffness
DIS042,Epilepsy,SYM0134,staring spells
DIS042,Epilepsy,SYM0045,confusion
DIS042,Epilepsy,SYM0135,uncontrolled movements
DIS042,Epilepsy,SYM0136,temporary memory loss
DIS043,Stroke,SYM0137,sudden face drooping
DIS043,Stroke,SYM0138,arm weakness
DIS043,Stroke,SYM0139,speech difficulty
DIS043,Stroke,SYM0023,severe headache
